solvency_cat,<p50,p50-p95,>p95
>p50,0.0013758146270818248,0.006957158549981692,0.009667927700714587
p50-p05,0.001969257699250588,0.01145311381531854,0.02781577747378021
<p5,0.004023522129371711,0.026415094339622643,0.03802281368821293
